Entity,Code,Day,people_fully_vaccinated
Alabama,,2021-04-29,1121348
Alabama,,2021-04-30,1143488
Alabama,,2021-05-01,1161725
Alabama,,2021-05-02,1165479
Alabama,,2021-05-03,1168235
Alabama,,2021-05-04,1179793
Alabama,,2021-05-05,1199064
Alabama,,2021-05-06,1201303
Alabama,,2021-05-07,1240335
Alabama,,2021-05-08,1263965
Alabama,,2021-05-09,1270858
Alabama,,2021-05-10,1273670
Alabama,,2021-05-11,1273999
Alabama,,2021-05-12,1286565
Alabama,,2021-05-13,1314534
Alabama,,2021-05-14,1334176
Alabama,,2021-05-15,1348023
Alabama,,2021-05-16,1350643
Alabama,,2021-05-17,1350830
Alabama,,2021-05-18,1362380
Alabama,,2021-05-19,1362834
Alabama,,2021-05-20,1382327
Alabama,,2021-05-21,1387356
Alabama,,2021-05-22,1396990
Alabama,,2021-05-23,1407769
Alabama,,2021-05-24,1407917
Alabama,,2021-05-25,1415771
Alabama,,2021-05-26,1419599
Alabama,,2021-05-27,1423605
Alabama,,2021-05-28,1429238
Alabama,,2021-05-29,1431669
Alabama,,2021-05-30,1432446
Alabama,,2021-06-01,1433267
Alabama,,2021-06-02,1435324
Alabama,,2021-06-03,1435719
Alabama,,2021-06-04,1440101
Alabama,,2021-06-05,1440289
Alabama,,2021-06-06,1441834
Alabama,,2021-06-07,1442775
Alabama,,2021-06-08,1443230
Alabama,,2021-06-09,1445608
Alabama,,2021-06-10,1460230
Alabama,,2021-06-11,1468898
Alabama,,2021-06-12,1485108
Alabama,,2021-06-13,1490848
Alabama,,2021-06-14,1499941
Alabama,,2021-06-15,1501171
Alabama,,2021-06-16,1508504
Alaska,,2021-01-12,5400
Alaska,,2021-01-13,6166
Alaska,,2021-01-15,9406
Alaska,,2021-01-19,10802
Alaska,,2021-01-20,11283
Alaska,,2021-01-21,12352
Alaska,,2021-01-22,13718
Alaska,,2021-01-23,15206
Alaska,,2021-01-24,16201
Alaska,,2021-01-25,16673
Alaska,,2021-01-26,16815
Alaska,,2021-01-27,18097
Alaska,,2021-01-28,20045
Alaska,,2021-01-29,21593
Alaska,,2021-01-30,23320
Alaska,,2021-01-31,24545
Alaska,,2021-02-01,25467
Alaska,,2021-02-02,26207
Alaska,,2021-02-03,27528
Alaska,,2021-02-04,30172
Alaska,,2021-02-05,32593
Alaska,,2021-02-06,35773
Alaska,,2021-02-07,39541
Alaska,,2021-02-08,40812
Alaska,,2021-02-09,41698
Alaska,,2021-02-10,43552
Alaska,,2021-02-11,46006
Alaska,,2021-02-12,48969
Alaska,,2021-02-13,52380
Alaska,,2021-02-14,57117
Alaska,,2021-02-16,60964
Alaska,,2021-02-17,62474
Alaska,,2021-02-18,65245
Alaska,,2021-02-19,71892
Alaska,,2021-02-20,78623
Alaska,,2021-02-21,82272
Alaska,,2021-02-22,84131
Alaska,,2021-02-23,84746
Alaska,,2021-02-24,86836
Alaska,,2021-02-25,90214
Alaska,,2021-02-26,92233
Alaska,,2021-02-27,95331
Alaska,,2021-02-28,97554
Alaska,,2021-03-01,99916
Alaska,,2021-03-02,100902
Alaska,,2021-03-03,102382
Alaska,,2021-03-04,104129
Alaska,,2021-03-05,106558
Alaska,,2021-03-06,110053
Alaska,,2021-03-07,113787
Alaska,,2021-03-08,115635
Alaska,,2021-03-09,117345
Alaska,,2021-03-10,119073
Alaska,,2021-03-11,122197
Alaska,,2021-03-12,124170
Alaska,,2021-03-13,126647
Alaska,,2021-03-14,130857
Alaska,,2021-03-15,132532
Alaska,,2021-03-16,133907
Alaska,,2021-03-17,135810
Alaska,,2021-03-18,138464
Alaska,,2021-03-19,140169
Alaska,,2021-03-20,143349
Alaska,,2021-03-21,145975
Alaska,,2021-03-22,146903
Alaska,,2021-03-23,147214
Alaska,,2021-03-24,148725
Alaska,,2021-03-25,150980
Alaska,,2021-03-26,153706
Alaska,,2021-03-27,156698
Alaska,,2021-03-28,160197
Alaska,,2021-03-29,160932
Alaska,,2021-03-30,161504
Alaska,,2021-03-31,163100
Alaska,,2021-04-01,165325
Alaska,,2021-04-02,167561
Alaska,,2021-04-03,170747
Alaska,,2021-04-04,176825
Alaska,,2021-04-05,178886
Alaska,,2021-04-06,179359
Alaska,,2021-04-07,181924
Alaska,,2021-04-08,186597
Alaska,,2021-04-09,189958
Alaska,,2021-04-10,194814
Alaska,,2021-04-11,198792
Alaska,,2021-04-12,201795
Alaska,,2021-04-13,222407
Alaska,,2021-04-14,225131
Alaska,,2021-04-15,225221
Alaska,,2021-04-16,228333
Alaska,,2021-04-17,231393
Alaska,,2021-04-18,234553
Alaska,,2021-04-19,235666
Alaska,,2021-04-20,236706
Alaska,,2021-04-21,239813
Alaska,,2021-04-22,242474
Alaska,,2021-04-23,244728
Alaska,,2021-04-24,246821
Alaska,,2021-04-25,248428
Alaska,,2021-04-26,249036
Alaska,,2021-04-27,249547
Alaska,,2021-04-28,250694
Alaska,,2021-04-29,255008
Alaska,,2021-04-30,256564
Alaska,,2021-05-01,262217
Alaska,,2021-05-02,263330
Alaska,,2021-05-03,263603
Alaska,,2021-05-04,263754
Alaska,,2021-05-05,264565
Alaska,,2021-05-06,265869
Alaska,,2021-05-07,266960
Alaska,,2021-05-08,268319
Alaska,,2021-05-09,268405
Alaska,,2021-05-10,270922
Alaska,,2021-05-11,271486
Alaska,,2021-05-12,272256
Alaska,,2021-05-13,273310
Alaska,,2021-05-14,274293
Alaska,,2021-05-15,275681
Alaska,,2021-05-16,276902
Alaska,,2021-05-17,277105
Alaska,,2021-05-18,277461
Alaska,,2021-05-19,278305
Alaska,,2021-05-20,279464
Alaska,,2021-05-21,280509
Alaska,,2021-05-22,281611
Alaska,,2021-05-23,282727
Alaska,,2021-05-24,283050
Alaska,,2021-05-25,283291
Alaska,,2021-05-26,283908
Alaska,,2021-05-27,284731
Alaska,,2021-05-28,285759
Alaska,,2021-05-29,286793
Alaska,,2021-05-30,287531
Alaska,,2021-06-01,288024
Alaska,,2021-06-02,288123
Alaska,,2021-06-03,289158
Alaska,,2021-06-04,290096
Alaska,,2021-06-05,291308
Alaska,,2021-06-06,292994
Alaska,,2021-06-07,294058
Alaska,,2021-06-08,294324
Alaska,,2021-06-09,294419
Alaska,,2021-06-10,296184
Alaska,,2021-06-11,297192
Alaska,,2021-06-12,298544
Alaska,,2021-06-13,299428
Alaska,,2021-06-14,300450
Alaska,,2021-06-15,301029
Alaska,,2021-06-16,301947
American Samoa,ASM,2021-01-12,260
American Samoa,ASM,2021-01-13,362
American Samoa,ASM,2021-01-15,738
American Samoa,ASM,2021-01-19,770
American Samoa,ASM,2021-01-20,836
American Samoa,ASM,2021-01-21,929
American Samoa,ASM,2021-01-22,940
American Samoa,ASM,2021-01-23,948
American Samoa,ASM,2021-01-24,948
American Samoa,ASM,2021-01-25,948
American Samoa,ASM,2021-01-26,948
American Samoa,ASM,2021-01-27,950
American Samoa,ASM,2021-01-28,950
American Samoa,ASM,2021-01-29,997
American Samoa,ASM,2021-01-30,997
American Samoa,ASM,2021-01-31,997
American Samoa,ASM,2021-02-01,1046
American Samoa,ASM,2021-02-02,1046
American Samoa,ASM,2021-02-03,1305
American Samoa,ASM,2021-02-04,1494
American Samoa,ASM,2021-02-05,2252
American Samoa,ASM,2021-02-06,2478
American Samoa,ASM,2021-02-07,2478
American Samoa,ASM,2021-02-08,2478
American Samoa,ASM,2021-02-09,2885
American Samoa,ASM,2021-02-10,3494
American Samoa,ASM,2021-02-11,3685
American Samoa,ASM,2021-02-12,4968
American Samoa,ASM,2021-02-13,5308
American Samoa,ASM,2021-02-14,5308
American Samoa,ASM,2021-02-16,5860
American Samoa,ASM,2021-02-17,5989
American Samoa,ASM,2021-02-18,5989
American Samoa,ASM,2021-02-19,5989
American Samoa,ASM,2021-02-20,6893
American Samoa,ASM,2021-02-21,7811
American Samoa,ASM,2021-02-22,7859
American Samoa,ASM,2021-02-23,7859
American Samoa,ASM,2021-02-24,8020
American Samoa,ASM,2021-02-25,8020
American Samoa,ASM,2021-02-26,8079
American Samoa,ASM,2021-02-27,8079
American Samoa,ASM,2021-02-28,8079
American Samoa,ASM,2021-03-01,8080
American Samoa,ASM,2021-03-02,8142
American Samoa,ASM,2021-03-03,8142
American Samoa,ASM,2021-03-04,8252
American Samoa,ASM,2021-03-05,8252
American Samoa,ASM,2021-03-06,8252
American Samoa,ASM,2021-03-07,8252
American Samoa,ASM,2021-03-08,8254
American Samoa,ASM,2021-03-09,8254
American Samoa,ASM,2021-03-10,8706
American Samoa,ASM,2021-03-11,8706
American Samoa,ASM,2021-03-12,8706
American Samoa,ASM,2021-03-13,8713
American Samoa,ASM,2021-03-14,8713
American Samoa,ASM,2021-03-15,9023
American Samoa,ASM,2021-03-16,9024
American Samoa,ASM,2021-03-17,9025
American Samoa,ASM,2021-03-18,9025
American Samoa,ASM,2021-03-19,9026
American Samoa,ASM,2021-03-20,9027
American Samoa,ASM,2021-03-21,9028
American Samoa,ASM,2021-03-22,10196
American Samoa,ASM,2021-03-23,10240
American Samoa,ASM,2021-03-24,10552
American Samoa,ASM,2021-03-25,10566
American Samoa,ASM,2021-03-26,11043
American Samoa,ASM,2021-03-27,11046
American Samoa,ASM,2021-03-28,11047
American Samoa,ASM,2021-03-29,11049
American Samoa,ASM,2021-03-30,11460
American Samoa,ASM,2021-03-31,13406
American Samoa,ASM,2021-04-01,13406
American Samoa,ASM,2021-04-02,13754
American Samoa,ASM,2021-04-03,13755
American Samoa,ASM,2021-04-04,13755
American Samoa,ASM,2021-04-05,13755
American Samoa,ASM,2021-04-06,13755
American Samoa,ASM,2021-04-07,14337
American Samoa,ASM,2021-04-08,14338
American Samoa,ASM,2021-04-09,14737
American Samoa,ASM,2021-04-10,14737
American Samoa,ASM,2021-04-11,14846
American Samoa,ASM,2021-04-12,14846
American Samoa,ASM,2021-04-13,14846
American Samoa,ASM,2021-04-14,15239
American Samoa,ASM,2021-04-15,15239
American Samoa,ASM,2021-04-16,15807
American Samoa,ASM,2021-04-17,15807
American Samoa,ASM,2021-04-18,15809
American Samoa,ASM,2021-04-19,15809
American Samoa,ASM,2021-04-20,15811
American Samoa,ASM,2021-04-21,15849
American Samoa,ASM,2021-04-22,15849
American Samoa,ASM,2021-04-23,16454
American Samoa,ASM,2021-04-24,16455
American Samoa,ASM,2021-04-25,16553
American Samoa,ASM,2021-04-26,16557
American Samoa,ASM,2021-04-27,16650
American Samoa,ASM,2021-04-28,16650
American Samoa,ASM,2021-04-29,16914
American Samoa,ASM,2021-04-30,17141
American Samoa,ASM,2021-05-01,17142
American Samoa,ASM,2021-05-02,17142
American Samoa,ASM,2021-05-03,17142
American Samoa,ASM,2021-05-04,17353
American Samoa,ASM,2021-05-05,17399
American Samoa,ASM,2021-05-06,17399
American Samoa,ASM,2021-05-07,17694
American Samoa,ASM,2021-05-08,17694
American Samoa,ASM,2021-05-09,17695
American Samoa,ASM,2021-05-10,17695
American Samoa,ASM,2021-05-11,17697
American Samoa,ASM,2021-05-12,17698
American Samoa,ASM,2021-05-13,17911
American Samoa,ASM,2021-05-14,17911
American Samoa,ASM,2021-05-15,18182
American Samoa,ASM,2021-05-16,18182
American Samoa,ASM,2021-05-17,18182
American Samoa,ASM,2021-05-18,18182
American Samoa,ASM,2021-05-19,18655
American Samoa,ASM,2021-05-20,18657
American Samoa,ASM,2021-05-21,18900
American Samoa,ASM,2021-05-22,18900
American Samoa,ASM,2021-05-23,18900
American Samoa,ASM,2021-05-24,18902
American Samoa,ASM,2021-05-25,18902
American Samoa,ASM,2021-05-26,18902
American Samoa,ASM,2021-05-27,19250
American Samoa,ASM,2021-05-28,19251
American Samoa,ASM,2021-05-29,19251
American Samoa,ASM,2021-05-30,19251
American Samoa,ASM,2021-06-01,19252
American Samoa,ASM,2021-06-02,19400
American Samoa,ASM,2021-06-03,19403
American Samoa,ASM,2021-06-04,19403
American Samoa,ASM,2021-06-05,19590
American Samoa,ASM,2021-06-06,19590
American Samoa,ASM,2021-06-07,19590
American Samoa,ASM,2021-06-08,19590
American Samoa,ASM,2021-06-09,19590
American Samoa,ASM,2021-06-10,19591
American Samoa,ASM,2021-06-11,19757
American Samoa,ASM,2021-06-12,19758
American Samoa,ASM,2021-06-13,19928
American Samoa,ASM,2021-06-14,19928
American Samoa,ASM,2021-06-15,20103
American Samoa,ASM,2021-06-16,20249
Arizona,,2021-01-12,8343
Arizona,,2021-01-13,12392
Arizona,,2021-01-15,20837
Arizona,,2021-01-19,30892
Arizona,,2021-01-20,34788
Arizona,,2021-01-21,41613
Arizona,,2021-01-22,48938
Arizona,,2021-01-23,55014
Arizona,,2021-01-24,58291
Arizona,,2021-01-25,62711
Arizona,,2021-01-26,64551
Arizona,,2021-01-27,68846
Arizona,,2021-01-28,73927
Arizona,,2021-01-29,80773
Arizona,,2021-01-30,86990
Arizona,,2021-01-31,92666
Arizona,,2021-02-01,95671
Arizona,,2021-02-02,96660
Arizona,,2021-02-03,102107
Arizona,,2021-02-04,111645
Arizona,,2021-02-05,121227
Arizona,,2021-02-06,136236
Arizona,,2021-02-07,151392
Arizona,,2021-02-08,161324
Arizona,,2021-02-09,166798
Arizona,,2021-02-10,177565
Arizona,,2021-02-11,192542
Arizona,,2021-02-12,207912
Arizona,,2021-02-13,226158
Arizona,,2021-02-14,244971
Arizona,,2021-02-16,264416
Arizona,,2021-02-17,267967
Arizona,,2021-02-18,283955
Arizona,,2021-02-19,335248
Arizona,,2021-02-20,356055
Arizona,,2021-02-21,376371
Arizona,,2021-02-22,386775
Arizona,,2021-02-23,393019
Arizona,,2021-02-24,407127
Arizona,,2021-02-25,432137
Arizona,,2021-02-26,462074
Arizona,,2021-02-27,490688
Arizona,,2021-02-28,525426
Arizona,,2021-03-01,555881
Arizona,,2021-03-02,575562
Arizona,,2021-03-03,601274
Arizona,,2021-03-04,627446
Arizona,,2021-03-05,658220
Arizona,,2021-03-06,662235
Arizona,,2021-03-07,715023
Arizona,,2021-03-08,738410
Arizona,,2021-03-09,750217
Arizona,,2021-03-10,767107
Arizona,,2021-03-11,792205
Arizona,,2021-03-12,826020
Arizona,,2021-03-13,858909
Arizona,,2021-03-14,891501
Arizona,,2021-03-15,913522
Arizona,,2021-03-16,939580
Arizona,,2021-03-17,955402
Arizona,,2021-03-18,978991
Arizona,,2021-03-19,981650
Arizona,,2021-03-20,1004408
Arizona,,2021-03-21,1029376
Arizona,,2021-03-22,1049219
Arizona,,2021-03-23,1059558
Arizona,,2021-03-24,1074666
Arizona,,2021-03-25,1108397
Arizona,,2021-03-26,1129146
Arizona,,2021-03-27,1154039
Arizona,,2021-03-28,1182684
Arizona,,2021-03-29,1205521
Arizona,,2021-03-30,1220787
Arizona,,2021-03-31,1242599
Arizona,,2021-04-01,1267484
Arizona,,2021-04-02,1298327
Arizona,,2021-04-03,1332012
Arizona,,2021-04-04,1366330
Arizona,,2021-04-05,1392647
Arizona,,2021-04-06,1399810
Arizona,,2021-04-07,1421780
Arizona,,2021-04-08,1453432
Arizona,,2021-04-09,1495431
Arizona,,2021-04-10,1540110
Arizona,,2021-04-11,1579065
Arizona,,2021-04-12,1602317
Arizona,,2021-04-13,1618978
Arizona,,2021-04-14,1643434
Arizona,,2021-04-15,1670496
Arizona,,2021-04-16,1702622
Arizona,,2021-04-17,1743376
Arizona,,2021-04-18,1780037
Arizona,,2021-04-19,1804526
Arizona,,2021-04-20,1822140
Arizona,,2021-04-21,1851575
Arizona,,2021-04-22,1883233
Arizona,,2021-04-23,1918341
Arizona,,2021-04-24,1955806
Arizona,,2021-04-25,1987117
Arizona,,2021-04-26,2009937
Arizona,,2021-04-27,2028087
Arizona,,2021-04-28,2052084
Arizona,,2021-04-29,2078095
Arizona,,2021-04-30,2106896
Arizona,,2021-05-01,2139453
Arizona,,2021-05-02,2163427
Arizona,,2021-05-03,2171573
Arizona,,2021-05-04,2183095
Arizona,,2021-05-05,2196443
Arizona,,2021-05-06,2222457
Arizona,,2021-05-07,2248015
Arizona,,2021-05-08,2273527
Arizona,,2021-05-09,2297078
Arizona,,2021-05-10,2322939
Arizona,,2021-05-11,2349371
Arizona,,2021-05-12,2362912
Arizona,,2021-05-13,2380200
Arizona,,2021-05-14,2396726
Arizona,,2021-05-15,2419252
Arizona,,2021-05-16,2439604
Arizona,,2021-05-17,2449013
Arizona,,2021-05-18,2457180
Arizona,,2021-05-19,2470567
Arizona,,2021-05-20,2482237
Arizona,,2021-05-21,2498817
Arizona,,2021-05-22,2522197
Arizona,,2021-05-23,2540723
Arizona,,2021-05-24,2554973
Arizona,,2021-05-25,2559836
Arizona,,2021-05-26,2567678
Arizona,,2021-05-27,2579485
Arizona,,2021-05-28,2592689
Arizona,,2021-05-29,2604505
Arizona,,2021-05-30,2616218
Arizona,,2021-06-01,2628096
Arizona,,2021-06-02,2631433
Arizona,,2021-06-03,2638935
Arizona,,2021-06-04,2648659
Arizona,,2021-06-05,2662008
Arizona,,2021-06-06,2675911
Arizona,,2021-06-07,2689635
Arizona,,2021-06-08,2697379
Arizona,,2021-06-09,2708157
Arizona,,2021-06-10,2709020
Arizona,,2021-06-11,2723480
Arizona,,2021-06-12,2742773
Arizona,,2021-06-13,2754164
Arizona,,2021-06-14,2765408
Arizona,,2021-06-15,2775508
Arizona,,2021-06-16,2775927
Arkansas,,2021-01-12,8
Arkansas,,2021-01-13,12849
Arkansas,,2021-01-15,18781
Arkansas,,2021-01-19,21734
Arkansas,,2021-01-20,26541
Arkansas,,2021-01-21,26541
Arkansas,,2021-01-22,31600
Arkansas,,2021-01-23,31600
Arkansas,,2021-01-24,32572
Arkansas,,2021-01-25,33159
Arkansas,,2021-01-26,37055
Arkansas,,2021-01-27,40910
Arkansas,,2021-01-28,40910
Arkansas,,2021-01-29,45918
Arkansas,,2021-01-30,52118
Arkansas,,2021-01-31,56264
Arkansas,,2021-02-01,58613
Arkansas,,2021-02-02,59903
Arkansas,,2021-02-03,63356
Arkansas,,2021-02-04,68778
Arkansas,,2021-02-05,73810
Arkansas,,2021-02-06,81564
Arkansas,,2021-02-07,90308
Arkansas,,2021-02-08,94058
Arkansas,,2021-02-09,95202
Arkansas,,2021-02-10,103669
Arkansas,,2021-02-11,110751
Arkansas,,2021-02-12,118465
Arkansas,,2021-02-13,124040
Arkansas,,2021-02-14,130637
Arkansas,,2021-02-16,136415
Arkansas,,2021-02-17,138254
Arkansas,,2021-02-18,140662
Arkansas,,2021-02-19,150812
Arkansas,,2021-02-20,152675
Arkansas,,2021-02-21,157511
Arkansas,,2021-02-22,161660
Arkansas,,2021-02-23,164064
Arkansas,,2021-02-24,172834
Arkansas,,2021-02-25,184592
Arkansas,,2021-02-26,200532
Arkansas,,2021-02-27,214402
Arkansas,,2021-02-28,227450
Arkansas,,2021-03-01,233685
Arkansas,,2021-03-02,236706
Arkansas,,2021-03-03,242999
Arkansas,,2021-03-04,249956
Arkansas,,2021-03-05,257367
Arkansas,,2021-03-06,265226
Arkansas,,2021-03-07,274376
Arkansas,,2021-03-08,277217
Arkansas,,2021-03-09,279815
Arkansas,,2021-03-10,285284
Arkansas,,2021-03-11,285811
Arkansas,,2021-03-12,297193
Arkansas,,2021-03-13,309784
Arkansas,,2021-03-14,309827
Arkansas,,2021-03-15,313372
Arkansas,,2021-03-16,314915
Arkansas,,2021-03-17,319158
Arkansas,,2021-03-18,324554
Arkansas,,2021-03-19,330804
Arkansas,,2021-03-20,335958
Arkansas,,2021-03-21,345022
Arkansas,,2021-03-22,348589
Arkansas,,2021-03-23,349951
Arkansas,,2021-03-24,357343
Arkansas,,2021-03-25,366664
Arkansas,,2021-03-26,376230
Arkansas,,2021-03-27,388657
Arkansas,,2021-03-28,403398
Arkansas,,2021-03-29,407828
Arkansas,,2021-03-30,410003
Arkansas,,2021-03-31,419462
Arkansas,,2021-04-01,432735
Arkansas,,2021-04-02,449549
Arkansas,,2021-04-03,481056
Arkansas,,2021-04-04,482062
Arkansas,,2021-04-05,487363
Arkansas,,2021-04-06,489479
Arkansas,,2021-04-07,503310
Arkansas,,2021-04-08,518824
Arkansas,,2021-04-09,533220
Arkansas,,2021-04-10,551699
Arkansas,,2021-04-11,567249
Arkansas,,2021-04-12,572844
Arkansas,,2021-04-13,576509
Arkansas,,2021-04-14,590188
Arkansas,,2021-04-15,606113
Arkansas,,2021-04-16,621708
Arkansas,,2021-04-17,636000
Arkansas,,2021-04-18,651184
Arkansas,,2021-04-19,655130
Arkansas,,2021-04-20,658933
Arkansas,,2021-04-21,670829
Arkansas,,2021-04-22,683800
Arkansas,,2021-04-23,698740
Arkansas,,2021-04-24,711646
Arkansas,,2021-04-25,724087
Arkansas,,2021-04-26,730955
Arkansas,,2021-04-27,732746
Arkansas,,2021-04-28,743022
Arkansas,,2021-04-29,754913
Arkansas,,2021-04-30,765888
Arkansas,,2021-05-01,777244
Arkansas,,2021-05-02,788238
Arkansas,,2021-05-03,792348
Arkansas,,2021-05-04,795792
Arkansas,,2021-05-05,803294
Arkansas,,2021-05-06,813144
Arkansas,,2021-05-07,820992
Arkansas,,2021-05-08,831032
Arkansas,,2021-05-09,840192
Arkansas,,2021-05-10,843372
Arkansas,,2021-05-11,846788
Arkansas,,2021-05-12,852811
Arkansas,,2021-05-13,859154
Arkansas,,2021-05-14,866686
Arkansas,,2021-05-15,876239
Arkansas,,2021-05-16,883404
Arkansas,,2021-05-17,885128
Arkansas,,2021-05-18,886519
Arkansas,,2021-05-19,890328
Arkansas,,2021-05-20,894806
Arkansas,,2021-05-21,901190
Arkansas,,2021-05-22,907318
Arkansas,,2021-05-23,912124
Arkansas,,2021-05-24,914312
Arkansas,,2021-05-25,915272
Arkansas,,2021-05-26,920647
Arkansas,,2021-05-27,925698
Arkansas,,2021-05-28,929962
Arkansas,,2021-05-29,936319
Arkansas,,2021-05-30,940582
Arkansas,,2021-06-01,942315
Arkansas,,2021-06-02,943122
Arkansas,,2021-06-03,946639
Arkansas,,2021-06-04,950289
Arkansas,,2021-06-05,954080
Arkansas,,2021-06-06,958320
Arkansas,,2021-06-07,958477
Arkansas,,2021-06-08,961824
Arkansas,,2021-06-09,965613
Arkansas,,2021-06-10,969859
Arkansas,,2021-06-11,969875
Arkansas,,2021-06-12,973662
Arkansas,,2021-06-13,978042
Arkansas,,2021-06-14,983079
Arkansas,,2021-06-15,985595
Arkansas,,2021-06-16,990045
Bureau of Prisons,,2021-01-12,1077
Bureau of Prisons,,2021-01-13,1077
Bureau of Prisons,,2021-01-15,2086
Bureau of Prisons,,2021-01-19,2091
Bureau of Prisons,,2021-01-20,3092
Bureau of Prisons,,2021-01-21,3800
Bureau of Prisons,,2021-01-22,3962
Bureau of Prisons,,2021-01-23,4977
Bureau of Prisons,,2021-01-24,5044
Bureau of Prisons,,2021-01-25,5301
Bureau of Prisons,,2021-01-26,5971
Bureau of Prisons,,2021-01-27,6846
Bureau of Prisons,,2021-01-28,7368
Bureau of Prisons,,2021-01-29,8011
Bureau of Prisons,,2021-01-30,8389
Bureau of Prisons,,2021-01-31,8490
Bureau of Prisons,,2021-02-01,8490
Bureau of Prisons,,2021-02-02,9079
Bureau of Prisons,,2021-02-03,10130
Bureau of Prisons,,2021-02-04,11259
Bureau of Prisons,,2021-02-05,12426
Bureau of Prisons,,2021-02-06,13362
Bureau of Prisons,,2021-02-07,13826
Bureau of Prisons,,2021-02-08,13826
Bureau of Prisons,,2021-02-09,14173
Bureau of Prisons,,2021-02-10,15085
Bureau of Prisons,,2021-02-11,15931
Bureau of Prisons,,2021-02-12,16449
Bureau of Prisons,,2021-02-13,17017
Bureau of Prisons,,2021-02-14,17256
Bureau of Prisons,,2021-02-16,17256
Bureau of Prisons,,2021-02-17,17598
Bureau of Prisons,,2021-02-18,17789
Bureau of Prisons,,2021-02-19,18276
Bureau of Prisons,,2021-02-20,18879
Bureau of Prisons,,2021-02-21,19556
Bureau of Prisons,,2021-02-22,19637
Bureau of Prisons,,2021-02-23,19996
Bureau of Prisons,,2021-02-24,20628
Bureau of Prisons,,2021-02-25,21439
Bureau of Prisons,,2021-02-26,22339
Bureau of Prisons,,2021-02-27,22939
Bureau of Prisons,,2021-02-28,23057
Bureau of Prisons,,2021-03-01,23057
Bureau of Prisons,,2021-03-02,23532
Bureau of Prisons,,2021-03-03,24513
Bureau of Prisons,,2021-03-04,25853
Bureau of Prisons,,2021-03-05,27041
Bureau of Prisons,,2021-03-06,27625
Bureau of Prisons,,2021-03-07,27841
Bureau of Prisons,,2021-03-08,27841
